Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Sk,Rush Att,Rush Yds,Rush TD,FGM,FGA,Def TD,Opp Pass Cmp,Opp Pass Att,Opp Pass Yds,Opp Pass TD,Opp Int,Opp Sk,Opp Rush Att,Opp Rush Yds,Opp Rush TD,Opp FGM,Opp FGA,Opp Def TD
33,42,295,2,1,4,8,-1,0,1,2,0,22,43,261,0,0,1,30,120,1,4,5,0
21,34,289,2,1,1,25,66,1,2,2,0,30,49,253,1,0,7,37,177,1,3,4,0
24,30,271,5,1,1,32,200,1,0,0,0,32,48,358,2,0,3,19,103,1,3,3,0
24,32,249,2,0,3,40,216,2,3,3,0,26,41,280,2,1,0,23,121,0,2,3,0
16,23,129,2,0,3,28,105,2,0,0,0,23,41,314,3,1,2,29,143,0,0,1,0
21,34,165,2,1,4,18,48,0,0,1,0,25,39,212,3,0,2,34,168,1,0,0,0
25,37,358,1,1,1,29,118,2,2,2,0,21,33,262,2,2,2,25,92,0,1,2,0
33,46,342,2,0,0,29,108,1,2,2,0,19,32,166,0,1,2,18,64,2,2,2,0
21,37,158,1,3,3,30,109,0,3,3,0,22,37,182,0,1,2,22,91,2,2,2,0
26,38,264,2,2,3,24,103,1,0,2,0,27,39,333,2,1,2,22,133,0,4,7,0
22,31,210,1,0,2,27,94,1,1,2,0,15,29,186,0,1,2,28,152,1,1,1,0
23,33,314,3,1,2,39,201,1,3,3,1,21,39,294,1,2,0,25,73,1,2,3,0
21,29,293,3,0,3,24,67,0,1,2,0,23,30,226,1,1,1,30,126,1,4,4,0
23,33,256,1,1,2,31,198,2,0,1,0,14,22,184,1,0,3,36,184,3,1,1,1
15,26,315,3,0,0,28,121,1,1,1,1,33,54,272,2,2,2,23,120,0,2,2,0
21,35,180,0,1,4,24,108,1,3,3,0,25,34,264,1,1,2,28,120,0,4,5,0
24,38,268,2,1,2,18,106,0,2,2,0,15,25,244,2,0,1,35,147,1,2,2,0
13,21,109,1,0,2,37,143,1,2,2,0,22,35,188,0,1,3,22,71,1,1,1,0
23,32,301,2,0,1,35,230,3,2,2,0,26,43,381,4,0,2,23,112,3,0,0,0
27,39,262,2,1,3,9,39,0,1,1,0,33,44,437,5,0,2,25,121,1,1,2,0
15,30,271,4,1,2,23,98,1,0,0,0,20,41,242,0,2,2,33,131,2,3,3,0
25,35,390,2,0,2,26,123,1,2,4,0,37,43,437,4,0,2,25,86,0,1,1,0
12,26,113,1,1,2,19,100,2,0,1,0,34,42,297,2,1,0,31,102,2,0,0,0
17,41,188,1,1,4,23,118,1,2,2,1,33,48,373,3,0,0,36,198,1,3,5,0
16,27,137,1,1,4,26,140,1,0,0,0,17,23,169,2,0,3,31,154,1,1,1,0
20,31,217,2,1,5,19,73,0,0,0,0,20,30,208,4,0,2,37,144,0,3,3,0
11,20,214,2,0,2,26,174,2,1,1,0,29,43,229,0,2,2,29,124,0,1,1,0
35,49,309,3,3,5,23,112,0,1,1,0,18,27,340,2,0,2,23,86,2,2,3,0
20,30,256,4,1,2,36,142,0,2,2,0,28,42,192,0,1,1,18,36,1,1,1,0
25,41,312,1,0,2,19,84,1,3,3,0,34,48,354,2,1,0,20,77,0,2,3,0
36,51,445,3,1,0,31,122,0,3,4,1,15,21,215,2,1,2,27,120,2,0,0,0
29,51,201,0,3,4,18,60,1,1,1,0,22,30,234,4,2,2,34,131,1,1,1,0
29,40,226,1,0,1,30,119,1,3,3,0,23,32,165,1,0,5,27,144,1,2,2,0
19,27,140,1,2,3,38,187,3,2,2,0,22,39,182,1,1,2,12,26,0,0,0,0
32,47,390,2,2,3,28,109,2,1,1,0,24,39,182,1,1,0,19,94,0,2,3,0
35,47,335,3,1,3,23,82,0,3,3,0,18,29,216,0,1,0,22,146,4,2,2,0
21,33,194,1,0,1,33,182,1,1,2,0,23,33,182,2,1,2,14,41,0,0,0,0
20,28,225,3,1,4,37,172,1,1,1,0,23,32,118,0,0,2,15,42,0,1,1,0
27,35,247,3,0,3,15,57,0,1,2,0,25,37,235,1,1,4,29,195,0,1,2,0
25,40,325,2,1,1,22,72,1,3,3,0,32,40,281,4,2,1,29,132,0,0,1,0
28,41,403,3,0,1,32,148,4,2,2,0,26,42,237,1,2,2,17,62,1,0,1,0
19,39,117,0,1,6,17,56,0,1,1,0,24,34,199,1,0,2,31,103,1,3,3,0
31,51,257,0,1,4,13,77,0,1,2,0,22,28,266,2,1,1,35,103,1,2,2,0
18,34,223,2,0,2,32,135,1,0,0,0,31,34,323,2,1,0,29,119,2,2,2,0
23,37,278,1,2,2,28,137,0,4,4,0,28,41,327,3,0,1,19,47,0,2,2,0
23,38,409,3,1,1,24,111,2,2,2,0,20,42,278,1,0,5,24,115,1,1,1,0
17,26,147,2,0,1,33,148,2,1,1,0,16,27,169,1,2,2,24,111,1,2,2,0
22,32,168,0,3,4,29,143,0,1,1,0,22,39,226,4,0,0,31,182,1,1,2,0
19,35,210,1,0,2,31,94,0,2,2,0,12,22,129,1,0,5,28,90,0,1,3,0
22,33,260,0,2,2,20,74,3,0,0,0,22,37,184,2,0,1,34,151,1,1,1,0
20,27,131,1,2,3,20,82,0,2,3,0,13,25,129,0,0,0,47,203,1,4,4,0
29,43,249,2,0,0,23,102,1,2,2,0,21,39,194,0,1,2,23,68,1,1,2,0
19,27,148,1,1,4,36,176,1,3,3,0,17,28,322,0,0,0,26,145,3,4,5,0
20,31,210,0,0,4,23,96,1,1,1,0,22,35,255,1,0,2,32,115,1,1,1,0
27,51,224,3,2,1,20,83,1,1,1,0,23,34,247,3,2,3,31,93,0,2,2,1
19,26,190,1,0,4,21,83,1,1,2,0,24,39,230,1,2,5,24,112,0,1,3,0
25,34,171,0,0,6,18,57,1,0,1,0,11,16,114,0,0,0,46,236,4,3,3,1
29,39,279,2,1,5,14,44,1,0,1,0,22,34,302,3,0,1,31,165,2,1,1,0
25,41,341,2,1,3,24,78,0,2,3,0,23,36,177,1,0,1,24,101,0,3,3,0
22,39,209,2,0,1,32,152,1,3,3,1,28,41,350,4,2,3,14,71,0,0,0,0
22,35,277,3,1,3,16,41,1,1,1,0,39,49,414,3,2,2,27,97,1,2,3,0
18,35,210,0,0,1,39,142,1,4,4,1,18,35,206,2,2,3,20,163,1,1,1,0
32,54,227,1,1,1,19,82,0,0,0,0,20,24,160,2,0,3,25,69,1,1,1,1
29,48,261,1,1,2,27,107,1,2,2,0,23,33,228,2,1,3,20,72,0,1,1,0
22,30,272,3,0,1,30,260,3,1,1,0,34,52,398,4,1,2,21,88,0,1,1,0
16,33,162,0,3,1,23,78,0,2,2,0,12,18,122,1,1,2,39,151,1,1,2,1
29,42,263,0,2,5,23,85,2,1,1,0,14,21,208,2,0,2,23,153,2,2,3,1
19,39,212,2,1,2,16,78,0,0,0,0,19,28,217,1,0,4,41,190,2,3,4,0
31,47,229,0,2,4,14,72,0,2,2,0,17,28,139,0,0,2,27,79,0,3,4,0
19,34,179,1,1,1,25,122,0,0,2,0,20,37,160,1,0,1,25,77,0,2,2,0
24,44,199,0,3,5,18,73,0,3,3,0,26,43,215,1,2,4,25,47,1,1,1,0
23,30,332,2,0,2,25,34,1,2,2,0,27,43,267,2,0,1,25,109,1,2,2,0
15,20,98,1,0,3,31,149,0,3,3,1,30,46,286,1,2,1,20,117,0,3,4,0
11,17,155,1,0,1,39,176,2,1,1,0,32,38,356,2,0,0,27,89,1,2,2,0
19,27,125,1,1,3,26,69,2,0,0,1,31,48,253,1,2,5,21,94,0,3,3,0
17,28,187,2,0,0,24,131,1,1,1,1,27,41,253,3,2,3,45,247,1,2,2,0
23,27,274,1,0,2,39,163,3,1,1,0,28,40,298,2,1,5,11,39,0,1,1,0
17,29,278,1,1,3,26,136,1,2,3,1,21,30,175,2,0,4,32,105,1,3,3,0
19,36,290,0,0,4,22,60,1,3,3,1,26,43,210,1,1,4,23,94,0,1,2,0
22,34,168,0,0,1,27,127,1,3,3,1,16,35,152,0,0,3,24,179,2,1,2,0
25,33,175,1,1,0,37,166,2,4,4,0,17,29,104,0,1,4,20,65,1,1,1,0
10,27,111,0,3,2,24,103,0,1,1,0,28,35,317,2,0,0,37,114,3,0,0,1
22,36,212,0,0,1,18,96,1,2,3,0,16,23,170,2,1,2,39,216,0,3,3,1
23,37,287,0,1,1,32,106,2,1,2,0,20,40,133,0,2,3,16,75,0,0,0,0
19,33,118,1,1,5,20,99,0,0,0,0,22,26,268,4,0,2,34,184,2,1,1,0
21,28,350,2,1,2,24,139,4,1,1,0,27,47,296,1,4,1,22,70,1,1,1,0
21,36,287,2,0,4,21,86,1,1,1,0,19,27,198,1,0,2,29,66,1,3,3,0
14,25,77,0,0,4,39,229,2,1,2,0,30,50,242,1,1,0,31,145,0,3,3,0
36,51,422,5,0,0,25,94,0,2,3,0,25,35,249,2,1,2,14,50,0,0,0,0
25,37,278,2,0,2,33,103,1,2,2,0,20,34,171,1,1,2,19,82,1,2,2,0
23,34,220,2,2,0,13,53,0,2,2,0,26,32,226,1,0,5,34,94,2,3,3,0
27,42,226,1,2,2,10,52,0,1,1,0,15,19,179,2,0,1,44,156,1,1,1,1
20,32,125,0,4,4,16,40,0,0,1,0,22,26,174,1,1,3,30,134,0,4,4,1
24,40,220,2,3,1,13,91,0,0,2,0,11,20,106,1,0,0,46,264,4,2,2,0
21,27,186,2,0,1,21,111,1,0,0,0,16,22,179,3,0,3,40,190,0,2,2,0
15,34,261,2,0,3,20,92,0,0,1,0,26,36,176,0,1,6,34,123,1,3,3,0
15,29,165,1,2,1,36,184,1,0,1,0,15,23,77,0,2,0,23,168,1,1,1,0
16,25,146,0,0,3,16,54,1,1,1,0,16,22,162,2,0,2,42,171,1,3,3,0
28,43,194,0,2,5,16,82,0,3,3,0,23,37,244,0,1,3,26,126,2,2,3,0
23,33,372,4,0,2,19,95,0,1,2,0,24,35,318,3,0,2,29,90,1,2,2,0
27,34,273,2,1,0,33,115,1,1,2,0,24,39,278,2,0,2,18,102,0,1,3,0
14,24,107,0,0,0,38,83,2,3,3,0,35,52,317,1,4,2,25,103,0,0,0,1
22,40,214,3,2,0,22,109,1,1,1,0,13,24,138,0,0,3,50,242,3,4,4,1
20,29,129,1,0,3,38,159,2,4,4,0,19,27,206,1,1,2,18,72,0,2,2,0
28,44,245,3,0,3,18,55,1,3,3,0,30,41,374,3,1,2,26,159,2,2,2,0
35,44,318,2,0,2,33,95,1,1,3,0,14,26,180,0,0,4,19,86,1,2,2,0
23,39,149,1,2,2,13,66,0,1,1,0,32,48,308,2,1,1,27,94,1,3,3,0
32,47,373,2,0,1,20,64,1,2,3,1,24,39,366,1,0,3,35,143,2,5,5,0
24,39,310,1,1,1,29,68,0,3,4,0,21,25,163,2,0,1,19,76,0,0,0,0
23,28,248,4,2,2,32,113,0,1,1,0,17,30,146,1,1,2,25,44,0,0,0,0
20,25,172,1,1,2,38,198,3,2,2,1,24,41,250,1,2,3,15,51,0,1,1,0
27,44,285,3,2,3,20,107,1,1,1,0,25,34,217,1,1,2,27,142,4,1,1,0
